name,prep_time,state,region,ingredients
balu_shahi,45,West Bengal,East,"Maida flour, yogurt, oil, sugar"
boondi,80,Rajasthan,West,"Gram flour, ghee, sugar"
gajar_ka_halwa,15,Punjab,North,"Carrots, milk, sugar, ghee, cashews, raisins"
ghevar,15,Rajasthan,West,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom"
gulab_jamun,15,West Bengal,East,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water"
imarti,10,West Bengal,East,"Sugar syrup, lentil flour"
jalebi,10,Uttar Pradesh,North,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom"
kaju_katli,10,-1,-1,"Cashews, ghee, cardamom, sugar"
kalakand,20,West Bengal,East,"Milk, cottage cheese, sugar"
kheer,10,-1,-1,"Milk, rice, sugar, dried fruits"
laddu,10,-1,-1,"Gram flour, ghee, sugar"
lassi,5,Punjab,North,"Yogurt, milk, nuts, sugar"
nankhatai,20,-1,-1,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom"
petha,10,Uttar Pradesh,North,"Firm white pumpkin, sugar, kitchen lime, alum powder"
phirni,30,Odisha,East,"Rice, sugar, nuts"
rabri,10,Uttar Pradesh,North,"Condensed milk, sugar, spices, nuts"
sheera,10,Maharashtra,West,"Semolina, ghee, nuts, milk"
singori,10,Uttarakhand,North,"Khoa, coconut, molu leaf"
sohan_halwa,10,Uttar Pradesh,North,"Corn flour, ghee, dry fruits"
sohan_papdi,15,Maharashtra,West,"Gram flour, ghee, sugar, milk, cardamom"
chhena_jalebi,10,Odisha,East,"Chhena, sugar, ghee"
chhena_kheeri,15,Odisha,East,"Chhena, sugar, milk"
chhena_poda,10,Odisha,East,"Sugar, chenna cheese"
cham_cham,40,West Bengal,East,"Flour, cream, sugar, saffron, lemon juice, coconut flakes"
kheer_sagar,25,Odisha,East,"Chenna, condensed milk, sugar, saffron, cardamom"
ledikeni,45,West Bengal,East,"Chhena, sugar, ghee"
lyangcha,20,Assam,North East,"Flour, fried milk power, sugar syrup"
